customerID,customer_name,customer_contact,customer_email,customer_username,password,userID
500,Queenly Aperin,9123456789,queenly@gmail.com,queen,12345678,1
501,Alliah Advincula,9123456789,alliah@gmail.com,allia,12345678,2
502,Maria Aperin,9123456789,maria@gmail.com,maria,12345678,3
503,Hans Hendrix,9123456789,hans@gmail.com,hans,12345678,4
504,Isaiah Jayden Santiago,9123456789,isaiah@gmail.com,isaia,12345678,5
505,Kythe Rye Santiago,9123456789,kythe@gmail.com,kythe,12345678,6
506,Kaildrich Formentera,9123456789,kaildrich@gmail.com,kaild,12345678,7
507,Angela Manuel,9123456789,angela@gmail.com,angel,12345678,8
508,Kyline Villaflor,9123456789,kyline@gmail.com,kylin,12345678,9
509,Jaycee Bea,9123456789,jaycee@gmail.com,jayce,12345678,10
510,Jed Caleb Cacha,9123456789,jed@gmail.com,jed,12345678,10
